Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413230087,2601405.6202,1144078.3775,1113.6317,111.2087 g,84.4483 g,140.2748,136.1094,,14.09.2022 13:23:01
3_TS091413230009,2601405.6149,1144078.3785,1113.6303,111.2087 g,84.4483 g,140.2693,136.1041,,14.09.2022 13:23:00
3_TS091413225945,2601405.6206,1144078.3774,1113.6317,111.2087 g,84.4483 g,140.2752,136.1098,,14.09.2022 13:22:59
3_TS091413225853,2601405.6227,1144078.3770,1113.6324,111.2087 g,84.4483 g,140.2775,136.1121,,14.09.2022 13:22:59
3_TS091413225775,2601405.6325,1144078.3753,1113.6348,111.2087 g,84.4483 g,140.2877,136.1220,,14.09.2022 13:22:58
3_TS091413225664,2601405.6335,1144078.3751,1113.6351,111.2087 g,84.4483 g,140.2888,136.1230,,14.09.2022 13:22:57
3_TS091413225584,2601405.6259,1144078.3764,1113.6330,111.2088 g,84.4484 g,140.2808,136.1153,,14.09.2022 13:22:56
3_TS091413225515,2601405.6210,1144078.3773,1113.6319,111.2087 g,84.4483 g,140.2757,136.1103,,14.09.2022 13:22:55
3_TS091413225433,2601405.6157,1144078.3782,1113.6305,111.2088 g,84.4483 g,140.2701,136.1049,,14.09.2022 13:22:54
3_TS091413225357,2601405.6195,1144078.3776,1113.6315,111.2087 g,84.4483 g,140.2741,136.1088,,14.09.2022 13:22:54
3_TS091413225281,2601405.6228,1144078.3770,1113.6325,111.2087 g,84.4483 g,140.2776,136.1121,,14.09.2022 13:22:53
3_TS091413225208,2601405.6257,1144078.3764,1113.6331,111.2088 g,84.4483 g,140.2806,136.1151,,14.09.2022 13:22:52
3_TS091413225138,2601405.6359,1144078.3747,1113.6358,111.2087 g,84.4483 g,140.2913,136.1254,,14.09.2022 13:22:51
