Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091412543969,2601405.6362,1144078.3737,1113.6366,111.2092 g,84.4479 g,140.2920,136.1259,,14.09.2022 12:54:40
3_TS091412543914,2601405.6431,1144078.3725,1113.6385,111.2092 g,84.4479 g,140.2992,136.1329,,14.09.2022 12:54:39
3_TS091412543767,2601405.6280,1144078.3751,1113.6347,111.2092 g,84.4479 g,140.2834,136.1176,,14.09.2022 12:54:38
3_TS091412543686,2601405.6280,1144078.3752,1113.6346,111.2092 g,84.4479 g,140.2834,136.1176,,14.09.2022 12:54:37
3_TS091412543612,2601405.6352,1144078.3738,1113.6365,111.2092 g,84.4479 g,140.2910,136.1249,,14.09.2022 12:54:36
3_TS091412543521,2601405.6358,1144078.3738,1113.6367,111.2092 g,84.4478 g,140.2916,136.1255,,14.09.2022 12:54:35
3_TS091412543456,2601405.6365,1144078.3737,1113.6369,111.2092 g,84.4479 g,140.2923,136.1262,,14.09.2022 12:54:35
3_TS091412543371,2601405.6328,1144078.3743,1113.6360,111.2092 g,84.4478 g,140.2885,136.1225,,14.09.2022 12:54:34
3_TS091412543291,2601405.6301,1144078.3748,1113.6353,111.2091 g,84.4478 g,140.2856,136.1197,,14.09.2022 12:54:33
3_TS091412543212,2601405.6308,1144078.3746,1113.6354,111.2092 g,84.4479 g,140.2864,136.1205,,14.09.2022 12:54:32
3_TS091412543142,2601405.6302,1144078.3748,1113.6352,111.2092 g,84.4479 g,140.2857,136.1198,,14.09.2022 12:54:31
3_TS091412543053,2601405.6324,1144078.3744,1113.6357,111.2092 g,84.4479 g,140.2880,136.1221,,14.09.2022 12:54:31
3_TS091412542987,2601405.6354,1144078.3739,1113.6366,111.2091 g,84.4479 g,140.2912,136.1251,,14.09.2022 12:54:30
3_TS091412542902,2601405.6408,1144078.3729,1113.6379,111.2091 g,84.4479 g,140.2968,136.1306,,14.09.2022 12:54:29
3_TS091412542812,2601405.6407,1144078.3730,1113.6379,111.2091 g,84.4479 g,140.2967,136.1305,,14.09.2022 12:54:28
3_TS091412542747,2601405.6361,1144078.3738,1113.6364,111.2091 g,84.4480 g,140.2918,136.1258,,14.09.2022 12:54:27
3_TS091412542645,2601405.6381,1144078.3735,1113.6370,111.2091 g,84.4480 g,140.2939,136.1278,,14.09.2022 12:54:26
3_TS091412542517,2601405.6291,1144078.3750,1113.6350,111.2091 g,84.4478 g,140.2846,136.1187,,14.09.2022 12:54:25
3_TS091412542444,2601405.6269,1144078.3754,1113.6341,111.2091 g,84.4480 g,140.2822,136.1165,,14.09.2022 12:54:24
3_TS091412542365,2601405.6393,1144078.3732,1113.6374,111.2091 g,84.4480 g,140.2952,136.1291,,14.09.2022 12:54:24
3_TS091412542291,2601405.6386,1144078.3733,1113.6372,111.2091 g,84.4479 g,140.2945,136.1284,,14.09.2022 12:54:23
3_TS091412542129,2601405.6377,1144078.3735,1113.6370,111.2091 g,84.4479 g,140.2935,136.1274,,14.09.2022 12:54:21
3_TS091412542046,2601405.6350,1144078.3739,1113.6364,111.2092 g,84.4479 g,140.2907,136.1247,,14.09.2022 12:54:20
3_TS091412541968,2601405.6337,1144078.3742,1113.6361,111.2091 g,84.4479 g,140.2894,136.1234,,14.09.2022 12:54:20
3_TS091412541882,2601405.6345,1144078.3741,1113.6362,111.2091 g,84.4479 g,140.2902,136.1242,,14.09.2022 12:54:19
3_TS091412541796,2601405.6391,1144078.3733,1113.6373,111.2091 g,84.4480 g,140.2950,136.1289,,14.09.2022 12:54:18
3_TS091412541722,2601405.6368,1144078.3738,1113.6366,111.2091 g,84.4480 g,140.2925,136.1265,,14.09.2022 12:54:17
3_TS091412541647,2601405.6397,1144078.3733,1113.6374,111.2091 g,84.4480 g,140.2956,136.1295,,14.09.2022 12:54:16
3_TS091412541565,2601405.6368,1144078.3738,1113.6366,111.2091 g,84.4480 g,140.2925,136.1265,,14.09.2022 12:54:16
3_TS091412541481,2601405.6340,1144078.3743,1113.6360,111.2091 g,84.4480 g,140.2896,136.1236,,14.09.2022 12:54:15
3_TS091412541402,2601405.6319,1144078.3746,1113.6355,111.2091 g,84.4479 g,140.2874,136.1215,,14.09.2022 12:54:14
3_TS091412541282,2601405.6280,1144078.3752,1113.6350,111.2092 g,84.4477 g,140.2835,136.1176,,14.09.2022 12:54:13
3_TS091412541199,2601405.6341,1144078.3741,1113.6365,111.2092 g,84.4478 g,140.2899,136.1238,,14.09.2022 12:54:12
3_TS091412541115,2601405.6345,1144078.3740,1113.6365,111.2091 g,84.4478 g,140.2903,136.1242,,14.09.2022 12:54:11
3_TS091412541034,2601405.6330,1144078.3743,1113.6360,111.2091 g,84.4478 g,140.2887,136.1227,,14.09.2022 12:54:10
3_TS091412540966,2601405.6387,1144078.3733,1113.6375,111.2091 g,84.4478 g,140.2946,136.1284,,14.09.2022 12:54:10
3_TS091412540884,2601405.6301,1144078.3748,1113.6355,111.2091 g,84.4478 g,140.2857,136.1197,,14.09.2022 12:54:09
3_TS091412540793,2601405.6290,1144078.3751,1113.6352,111.2091 g,84.4478 g,140.2845,136.1186,,14.09.2022 12:54:08
3_TS091412540719,2601405.6301,1144078.3749,1113.6351,111.2091 g,84.4479 g,140.2856,136.1197,,14.09.2022 12:54:07
3_TS091412540682,2601405.6399,1144078.3732,1113.6376,111.2091 g,84.4479 g,140.2958,136.1296,,14.09.2022 12:54:07
3_TS091412540551,2601405.6369,1144078.3737,1113.6371,111.2091 g,84.4478 g,140.2927,136.1266,,14.09.2022 12:54:06
3_TS091412540476,2601405.6368,1144078.3737,1113.6370,111.2091 g,84.4478 g,140.2926,136.1265,,14.09.2022 12:54:05
3_TS091412540396,2601405.6357,1144078.3738,1113.6367,111.2091 g,84.4479 g,140.2915,136.1254,,14.09.2022 12:54:04
3_TS091412540317,2601405.6315,1144078.3746,1113.6357,111.2091 g,84.4478 g,140.2871,136.1211,,14.09.2022 12:54:03
3_TS091412540255,2601405.6297,1144078.3748,1113.6354,111.2092 g,84.4478 g,140.2853,136.1194,,14.09.2022 12:54:03
3_TS091412540169,2601405.6308,1144078.3747,1113.6356,111.2092 g,84.4478 g,140.2864,136.1204,,14.09.2022 12:54:02
3_TS091412540059,2601405.6331,1144078.3742,1113.6362,111.2092 g,84.4478 g,140.2888,136.1227,,14.09.2022 12:54:01
3_TS091412535970,2601405.6400,1144078.3730,1113.6379,111.2092 g,84.4478 g,140.2960,136.1297,,14.09.2022 12:54:00
3_TS091412535893,2601405.6382,1144078.3733,1113.6375,111.2092 g,84.4478 g,140.2942,136.1280,,14.09.2022 12:53:59
3_TS091412535812,2601405.6361,1144078.3737,1113.6369,111.2092 g,84.4478 g,140.2919,136.1258,,14.09.2022 12:53:58
3_TS091412535737,2601405.6297,1144078.3749,1113.6352,111.2091 g,84.4478 g,140.2852,136.1193,,14.09.2022 12:53:57
3_TS091412535658,2601405.6268,1144078.3754,1113.6346,111.2091 g,84.4478 g,140.2822,136.1163,,14.09.2022 12:53:57
3_TS091412535575,2601405.6312,1144078.3747,1113.6357,111.2091 g,84.4478 g,140.2868,136.1208,,14.09.2022 12:53:56
3_TS091412535492,2601405.6322,1144078.3745,1113.6359,111.2091 g,84.4478 g,140.2878,136.1218,,14.09.2022 12:53:55
3_TS091412535410,2601405.6350,1144078.3740,1113.6366,111.2091 g,84.4478 g,140.2908,136.1247,,14.09.2022 12:53:54
3_TS091412535337,2601405.6384,1144078.3734,1113.6374,111.2091 g,84.4478 g,140.2943,136.1281,,14.09.2022 12:53:53
3_TS091412535252,2601405.6330,1144078.3744,1113.6360,111.2091 g,84.4478 g,140.2886,136.1226,,14.09.2022 12:53:53
3_TS091412535175,2601405.6269,1144078.3755,1113.6343,111.2091 g,84.4479 g,140.2822,136.1164,,14.09.2022 12:53:52
3_TS091412535102,2601405.6208,1144078.3766,1113.6329,111.2091 g,84.4479 g,140.2759,136.1103,,14.09.2022 12:53:51
3_TS091412535057,2601405.6251,1144078.3758,1113.6342,111.2091 g,84.4478 g,140.2804,136.1146,,14.09.2022 12:53:51
3_TS091412534831,2601405.6366,1144078.3737,1113.6371,111.2091 g,84.4478 g,140.2925,136.1263,,14.09.2022 12:53:48
3_TS091412534759,2601405.6400,1144078.3731,1113.6380,111.2091 g,84.4478 g,140.2960,136.1297,,14.09.2022 12:53:48
3_TS091412534693,2601405.6387,1144078.3733,1113.6377,111.2091 g,84.4477 g,140.2947,136.1285,,14.09.2022 12:53:47
3_TS091412534620,2601405.6263,1144078.3755,1113.6346,111.2091 g,84.4477 g,140.2817,136.1158,,14.09.2022 12:53:46
3_TS091412534545,2601405.6234,1144078.3760,1113.6337,111.2091 g,84.4478 g,140.2786,136.1129,,14.09.2022 12:53:45
3_TS091412534435,2601405.6207,1144078.3765,1113.6330,111.2092 g,84.4478 g,140.2758,136.1101,,14.09.2022 12:53:44
3_TS091412534356,2601405.6287,1144078.3751,1113.6352,111.2091 g,84.4477 g,140.2842,136.1182,,14.09.2022 12:53:44
3_TS091412534271,2601405.6320,1144078.3745,1113.6362,111.2092 g,84.4477 g,140.2877,136.1216,,14.09.2022 12:53:43
3_TS091412534202,2601405.6339,1144078.3741,1113.6365,111.2092 g,84.4477 g,140.2897,136.1236,,14.09.2022 12:53:42
3_TS091412534118,2601405.6394,1144078.3731,1113.6380,111.2092 g,84.4477 g,140.2955,136.1292,,14.09.2022 12:53:41
3_TS091412534037,2601405.6305,1144078.3747,1113.6357,111.2092 g,84.4477 g,140.2861,136.1201,,14.09.2022 12:53:40
3_TS091412533968,2601405.6259,1144078.3755,1113.6346,111.2092 g,84.4477 g,140.2813,136.1154,,14.09.2022 12:53:40
3_TS091412533889,2601405.6203,1144078.3765,1113.6332,111.2092 g,84.4477 g,140.2755,136.1098,,14.09.2022 12:53:39
3_TS091412533810,2601405.6240,1144078.3758,1113.6342,111.2092 g,84.4477 g,140.2794,136.1136,,14.09.2022 12:53:38
3_TS091412533729,2601405.6289,1144078.3749,1113.6354,111.2092 g,84.4477 g,140.2845,136.1185,,14.09.2022 12:53:37
3_TS091412533656,2601405.6357,1144078.3737,1113.6371,111.2092 g,84.4477 g,140.2916,136.1254,,14.09.2022 12:53:37
3_TS091412533537,2601405.6356,1144078.3737,1113.6370,111.2092 g,84.4477 g,140.2915,136.1253,,14.09.2022 12:53:35
3_TS091412533468,2601405.6285,1144078.3750,1113.6351,111.2092 g,84.4477 g,140.2840,136.1181,,14.09.2022 12:53:35
3_TS091412533456,2601405.6208,1144078.3764,1113.6333,111.2092 g,84.4477 g,140.2760,136.1103,,14.09.2022 12:53:35
3_TS091412533295,2601405.6202,1144078.3765,1113.6332,111.2092 g,84.4477 g,140.2754,136.1097,,14.09.2022 12:53:33
3_TS091412533214,2601405.6218,1144078.3762,1113.6335,111.2092 g,84.4477 g,140.2770,136.1113,,14.09.2022 12:53:32
3_TS091412533159,2601405.6301,1144078.3747,1113.6356,111.2092 g,84.4477 g,140.2857,136.1197,,14.09.2022 12:53:32
3_TS091412533069,2601405.6378,1144078.3733,1113.6376,111.2092 g,84.4477 g,140.2938,136.1276,,14.09.2022 12:53:31
3_TS091412532984,2601405.6396,1144078.3730,1113.6381,111.2092 g,84.4477 g,140.2957,136.1294,,14.09.2022 12:53:30
3_TS091412532895,2601405.6339,1144078.3740,1113.6366,111.2092 g,84.4477 g,140.2897,136.1236,,14.09.2022 12:53:29
3_TS091412532828,2601405.6291,1144078.3749,1113.6353,111.2092 g,84.4477 g,140.2847,136.1187,,14.09.2022 12:53:28
3_TS091412532743,2601405.6286,1144078.3750,1113.6352,111.2092 g,84.4477 g,140.2841,136.1182,,14.09.2022 12:53:27
3_TS091412532666,2601405.6219,1144078.3762,1113.6335,111.2092 g,84.4477 g,140.2771,136.1114,,14.09.2022 12:53:27
3_TS091412532591,2601405.6284,1144078.3751,1113.6351,111.2092 g,84.4477 g,140.2839,136.1180,,14.09.2022 12:53:26
3_TS091412532514,2601405.6297,1144078.3749,1113.6356,111.2091 g,84.4477 g,140.2853,136.1193,,14.09.2022 12:53:25
3_TS091412532443,2601405.6343,1144078.3742,1113.6369,111.2091 g,84.4476 g,140.2901,136.1239,,14.09.2022 12:53:24
3_TS091412532373,2601405.6358,1144078.3738,1113.6374,111.2091 g,84.4475 g,140.2918,136.1255,,14.09.2022 12:53:24
3_TS091412532256,2601405.6293,1144078.3749,1113.6357,111.2092 g,84.4476 g,140.2850,136.1190,,14.09.2022 12:53:23
3_TS091412532171,2601405.6247,1144078.3757,1113.6346,111.2092 g,84.4475 g,140.2802,136.1143,,14.09.2022 12:53:22
3_TS091412532097,2601405.6271,1144078.3752,1113.6352,111.2092 g,84.4476 g,140.2827,136.1167,,14.09.2022 12:53:21
3_TS091412532027,2601405.6205,1144078.3764,1113.6334,111.2092 g,84.4476 g,140.2757,136.1100,,14.09.2022 12:53:20
3_TS091412531948,2601405.6223,1144078.3761,1113.6337,111.2092 g,84.4477 g,140.2776,136.1118,,14.09.2022 12:53:19
3_TS091412531870,2601405.6297,1144078.3748,1113.6355,111.2092 g,84.4477 g,140.2853,136.1193,,14.09.2022 12:53:19
3_TS091412531833,2601405.6269,1144078.3753,1113.6348,111.2092 g,84.4477 g,140.2824,136.1165,,14.09.2022 12:53:18
3_TS091412531711,2601405.6269,1144078.3753,1113.6347,111.2092 g,84.4477 g,140.2823,136.1164,,14.09.2022 12:53:17
3_TS091412531627,2601405.6204,1144078.3765,1113.6332,111.2092 g,84.4477 g,140.2756,136.1099,,14.09.2022 12:53:16
3_TS091412531552,2601405.6177,1144078.3769,1113.6323,111.2092 g,84.4478 g,140.2727,136.1071,,14.09.2022 12:53:16
3_TS091412531477,2601405.6205,1144078.3764,1113.6330,111.2092 g,84.4478 g,140.2756,136.1099,,14.09.2022 12:53:15
3_TS091412531397,2601405.6262,1144078.3754,1113.6344,111.2092 g,84.4478 g,140.2816,136.1158,,14.09.2022 12:53:14
3_TS091412531316,2601405.6241,1144078.3758,1113.6338,111.2092 g,84.4478 g,140.2794,136.1136,,14.09.2022 12:53:13
3_TS091412531245,2601405.6256,1144078.3755,1113.6341,111.2092 g,84.4479 g,140.2809,136.1151,,14.09.2022 12:53:12
3_TS091412531162,2601405.6261,1144078.3755,1113.6341,111.2092 g,84.4479 g,140.2814,136.1156,,14.09.2022 12:53:12
3_TS091412531091,2601405.6192,1144078.3767,1113.6325,111.2092 g,84.4479 g,140.2742,136.1086,,14.09.2022 12:53:11
3_TS091412530969,2601405.6134,1144078.3778,1113.6309,111.2092 g,84.4479 g,140.2681,136.1027,,14.09.2022 12:53:10
3_TS091412530896,2601405.6152,1144078.3775,1113.6314,111.2091 g,84.4479 g,140.2700,136.1046,,14.09.2022 12:53:09
3_TS091412530826,2601405.6181,1144078.3770,1113.6322,111.2091 g,84.4479 g,140.2731,136.1076,,14.09.2022 12:53:08
3_TS091412530749,2601405.6229,1144078.3761,1113.6333,111.2091 g,84.4479 g,140.2780,136.1123,,14.09.2022 12:53:07
3_TS091412530672,2601405.6231,1144078.3761,1113.6333,111.2091 g,84.4479 g,140.2782,136.1125,,14.09.2022 12:53:07
3_TS091412530602,2601405.6161,1144078.3773,1113.6316,111.2091 g,84.4479 g,140.2709,136.1055,,14.09.2022 12:53:06
3_TS091412530535,2601405.6169,1144078.3773,1113.6318,111.2091 g,84.4479 g,140.2718,136.1063,,14.09.2022 12:53:05
3_TS091412530451,2601405.6145,1144078.3777,1113.6311,111.2091 g,84.4479 g,140.2692,136.1038,,14.09.2022 12:53:05
3_TS091412530363,2601405.6080,1144078.3788,1113.6298,111.2091 g,84.4478 g,140.2625,136.0972,,14.09.2022 12:53:04
3_TS091412530291,2601405.6140,1144078.3777,1113.6313,111.2091 g,84.4478 g,140.2688,136.1034,,14.09.2022 12:53:03
3_TS091412530228,2601405.6144,1144078.3776,1113.6316,111.2092 g,84.4477 g,140.2693,136.1038,,14.09.2022 12:53:02
3_TS091412530215,2601405.6141,1144078.3777,1113.6315,111.2092 g,84.4477 g,140.2689,136.1034,,14.09.2022 12:53:02
3_TS091412530065,2601405.6151,1144078.3775,1113.6317,111.2091 g,84.4478 g,140.2700,136.1045,,14.09.2022 12:53:01
3_TS091412525986,2601405.6153,1144078.3775,1113.6315,111.2091 g,84.4479 g,140.2701,136.1046,,14.09.2022 12:53:00
3_TS091412525911,2601405.6108,1144078.3783,1113.6306,111.2091 g,84.4478 g,140.2655,136.1001,,14.09.2022 12:52:59
3_TS091412525837,2601405.6091,1144078.3785,1113.6302,111.2091 g,84.4478 g,140.2637,136.0984,,14.09.2022 12:52:58
3_TS091412525721,2601405.6129,1144078.3779,1113.6311,111.2091 g,84.4478 g,140.2677,136.1023,,14.09.2022 12:52:57
3_TS091412525654,2601405.6167,1144078.3772,1113.6320,111.2091 g,84.4478 g,140.2716,136.1061,,14.09.2022 12:52:57
3_TS091412525567,2601405.6129,1144078.3779,1113.6309,111.2091 g,84.4479 g,140.2676,136.1022,,14.09.2022 12:52:56
3_TS091412525495,2601405.6098,1144078.3785,1113.6302,111.2091 g,84.4478 g,140.2644,136.0991,,14.09.2022 12:52:55
3_TS091412525408,2601405.6085,1144078.3787,1113.6302,111.2092 g,84.4477 g,140.2631,136.0978,,14.09.2022 12:52:54
3_TS091412525336,2601405.6068,1144078.3790,1113.6296,111.2091 g,84.4478 g,140.2613,136.0961,,14.09.2022 12:52:53
3_TS091412525253,2601405.6044,1144078.3794,1113.6289,111.2092 g,84.4478 g,140.2588,136.0936,,14.09.2022 12:52:53
3_TS091412525167,2601405.6065,1144078.3790,1113.6294,111.2092 g,84.4478 g,140.2610,136.0958,,14.09.2022 12:52:52
3_TS091412525089,2601405.6054,1144078.3792,1113.6292,111.2092 g,84.4478 g,140.2598,136.0946,,14.09.2022 12:52:51
3_TS091412525024,2601405.6059,1144078.3791,1113.6293,111.2092 g,84.4478 g,140.2603,136.0951,,14.09.2022 12:52:50
3_TS091412524943,2601405.6043,1144078.3794,1113.6288,111.2092 g,84.4478 g,140.2586,136.0935,,14.09.2022 12:52:49
3_TS091412524875,2601405.6031,1144078.3796,1113.6287,111.2092 g,84.4477 g,140.2574,136.0923,,14.09.2022 12:52:49
3_TS091412524796,2601405.6045,1144078.3793,1113.6291,111.2092 g,84.4477 g,140.2589,136.0937,,14.09.2022 12:52:48
3_TS091412524722,2601405.6016,1144078.3799,1113.6282,111.2092 g,84.4478 g,140.2558,136.0907,,14.09.2022 12:52:47
3_TS091412524648,2601405.5998,1144078.3802,1113.6278,111.2091 g,84.4478 g,140.2539,136.0889,,14.09.2022 12:52:46
3_TS091412524601,2601405.6036,1144078.3795,1113.6285,111.2091 g,84.4479 g,140.2579,136.0928,,14.09.2022 12:52:46
3_TS091412524458,2601405.6010,1144078.3800,1113.6278,111.2092 g,84.4479 g,140.2551,136.0901,,14.09.2022 12:52:45
3_TS091412524378,2601405.6011,1144078.3799,1113.6279,111.2092 g,84.4479 g,140.2553,136.0903,,14.09.2022 12:52:44
3_TS091412524305,2601405.6001,1144078.3801,1113.6276,111.2092 g,84.4479 g,140.2542,136.0892,,14.09.2022 12:52:43
3_TS091412524227,2601405.5997,1144078.3802,1113.6276,111.2092 g,84.4479 g,140.2538,136.0888,,14.09.2022 12:52:42
3_TS091412524147,2601405.6010,1144078.3799,1113.6278,111.2092 g,84.4479 g,140.2552,136.0902,,14.09.2022 12:52:41
3_TS091412524073,2601405.5975,1144078.3806,1113.6267,111.2092 g,84.4480 g,140.2514,136.0866,,14.09.2022 12:52:41
3_TS091412524009,2601405.5930,1144078.3814,1113.6257,111.2092 g,84.4479 g,140.2467,136.0820,,14.09.2022 12:52:40
3_TS091412523959,2601405.5968,1144078.3807,1113.6267,111.2092 g,84.4479 g,140.2507,136.0859,,14.09.2022 12:52:40
3_TS091412523878,2601405.5950,1144078.3810,1113.6263,111.2092 g,84.4479 g,140.2489,136.0841,,14.09.2022 12:52:39
3_TS091412523803,2601405.5895,1144078.3820,1113.6248,111.2092 g,84.4479 g,140.2431,136.0785,,14.09.2022 12:52:38
3_TS091412523734,2601405.5935,1144078.3813,1113.6259,111.2092 g,84.4479 g,140.2473,136.0825,,14.09.2022 12:52:37
3_TS091412523654,2601405.5981,1144078.3805,1113.6272,111.2092 g,84.4478 g,140.2521,136.0872,,14.09.2022 12:52:37
3_TS091412523587,2601405.5935,1144078.3813,1113.6260,111.2092 g,84.4479 g,140.2473,136.0825,,14.09.2022 12:52:36
3_TS091412523509,2601405.5937,1144078.3813,1113.6259,111.2092 g,84.4479 g,140.2475,136.0827,,14.09.2022 12:52:35
3_TS091412523432,2601405.5948,1144078.3810,1113.6263,111.2092 g,84.4479 g,140.2487,136.0839,,14.09.2022 12:52:34
3_TS091412523351,2601405.5973,1144078.3806,1113.6270,111.2092 g,84.4478 g,140.2513,136.0864,,14.09.2022 12:52:34
3_TS091412523285,2601405.5989,1144078.3803,1113.6275,111.2092 g,84.4478 g,140.2530,136.0880,,14.09.2022 12:52:33
3_TS091412523170,2601405.5993,1144078.3803,1113.6274,111.2092 g,84.4479 g,140.2534,136.0885,,14.09.2022 12:52:32
3_TS091412523089,2601405.5914,1144078.3817,1113.6254,111.2092 g,84.4479 g,140.2451,136.0804,,14.09.2022 12:52:31
3_TS091412523018,2601405.5904,1144078.3818,1113.6250,111.2092 g,84.4479 g,140.2440,136.0794,,14.09.2022 12:52:30
3_TS091412522993,2601405.5872,1144078.3824,1113.6245,111.2092 g,84.4478 g,140.2408,136.0762,,14.09.2022 12:52:30
3_TS091412522869,2601405.5898,1144078.3819,1113.6252,111.2092 g,84.4478 g,140.2435,136.0788,,14.09.2022 12:52:29
3_TS091412522790,2601405.5877,1144078.3823,1113.6247,111.2092 g,84.4478 g,140.2413,136.0767,,14.09.2022 12:52:28
3_TS091412522709,2601405.5894,1144078.3819,1113.6251,111.2092 g,84.4478 g,140.2431,136.0784,,14.09.2022 12:52:27
3_TS091412522636,2601405.5953,1144078.3808,1113.6267,111.2092 g,84.4477 g,140.2493,136.0844,,14.09.2022 12:52:26
3_TS091412522559,2601405.5906,1144078.3817,1113.6255,111.2092 g,84.4477 g,140.2444,136.0796,,14.09.2022 12:52:26
3_TS091412522474,2601405.5873,1144078.3823,1113.6246,111.2092 g,84.4478 g,140.2409,136.0763,,14.09.2022 12:52:25
3_TS091412522406,2601405.5845,1144078.3828,1113.6239,111.2092 g,84.4478 g,140.2380,136.0735,,14.09.2022 12:52:24
3_TS091412522339,2601405.5858,1144078.3826,1113.6242,111.2092 g,84.4478 g,140.2393,136.0747,,14.09.2022 12:52:23
3_TS091412522248,2601405.5857,1144078.3826,1113.6242,111.2092 g,84.4478 g,140.2392,136.0746,,14.09.2022 12:52:22
3_TS091412522171,2601405.5892,1144078.3819,1113.6251,111.2092 g,84.4478 g,140.2429,136.0782,,14.09.2022 12:52:22
3_TS091412522089,2601405.5885,1144078.3820,1113.6249,111.2092 g,84.4478 g,140.2422,136.0775,,14.09.2022 12:52:21
3_TS091412522012,2601405.5875,1144078.3822,1113.6247,111.2092 g,84.4477 g,140.2411,136.0764,,14.09.2022 12:52:20
3_TS091412521897,2601405.5881,1144078.3821,1113.6249,111.2092 g,84.4478 g,140.2417,136.0770,,14.09.2022 12:52:19
3_TS091412521832,2601405.5882,1144078.3821,1113.6248,111.2092 g,84.4478 g,140.2418,136.0772,,14.09.2022 12:52:18
3_TS091412521752,2601405.5882,1144078.3821,1113.6249,111.2092 g,84.4478 g,140.2418,136.0771,,14.09.2022 12:52:18
3_TS091412521678,2601405.5858,1144078.3826,1113.6242,111.2092 g,84.4478 g,140.2393,136.0747,,14.09.2022 12:52:17
3_TS091412521608,2601405.5875,1144078.3822,1113.6246,111.2092 g,84.4478 g,140.2411,136.0765,,14.09.2022 12:52:16
3_TS091412521514,2601405.5892,1144078.3819,1113.6250,111.2092 g,84.4478 g,140.2429,136.0782,,14.09.2022 12:52:15
3_TS091412521447,2601405.5869,1144078.3823,1113.6245,111.2092 g,84.4478 g,140.2405,136.0759,,14.09.2022 12:52:14
3_TS091412521385,2601405.5853,1144078.3826,1113.6241,111.2092 g,84.4478 g,140.2388,136.0742,,14.09.2022 12:52:14
3_TS091412521211,2601405.5794,1144078.3837,1113.6226,111.2092 g,84.4478 g,140.2326,136.0682,,14.09.2022 12:52:12
3_TS091412521146,2601405.5831,1144078.3830,1113.6235,111.2092 g,84.4478 g,140.2365,136.0720,,14.09.2022 12:52:11
3_TS091412521057,2601405.5869,1144078.3824,1113.6245,111.2092 g,84.4478 g,140.2405,136.0759,,14.09.2022 12:52:11
3_TS091412520992,2601405.5815,1144078.3833,1113.6231,111.2092 g,84.4478 g,140.2348,136.0704,,14.09.2022 12:52:10
3_TS091412520918,2601405.5833,1144078.3830,1113.6235,111.2092 g,84.4478 g,140.2367,136.0722,,14.09.2022 12:52:09
3_TS091412520836,2601405.5786,1144078.3838,1113.6224,111.2092 g,84.4478 g,140.2318,136.0674,,14.09.2022 12:52:08
3_TS091412520766,2601405.5854,1144078.3826,1113.6241,111.2092 g,84.4478 g,140.2389,136.0743,,14.09.2022 12:52:08
3_TS091412520649,2601405.5828,1144078.3830,1113.6234,111.2092 g,84.4478 g,140.2362,136.0717,,14.09.2022 12:52:06
3_TS091412520575,2601405.5850,1144078.3827,1113.6241,111.2092 g,84.4478 g,140.2385,136.0739,,14.09.2022 12:52:06
3_TS091412520496,2601405.5810,1144078.3834,1113.6231,111.2092 g,84.4477 g,140.2343,136.0699,,14.09.2022 12:52:05
3_TS091412520425,2601405.5886,1144078.3820,1113.6250,111.2092 g,84.4478 g,140.2423,136.0776,,14.09.2022 12:52:04
3_TS091412520352,2601405.5878,1144078.3822,1113.6248,111.2092 g,84.4478 g,140.2414,136.0767,,14.09.2022 12:52:04
3_TS091412520278,2601405.5877,1144078.3822,1113.6248,111.2092 g,84.4477 g,140.2413,136.0766,,14.09.2022 12:52:03
3_TS091412520207,2601405.5839,1144078.3829,1113.6237,111.2092 g,84.4478 g,140.2373,136.0728,,14.09.2022 12:52:02
3_TS091412520136,2601405.5808,1144078.3834,1113.6231,111.2092 g,84.4477 g,140.2341,136.0696,,14.09.2022 12:52:01
3_TS091412520048,2601405.5865,1144078.3824,1113.6245,111.2092 g,84.4477 g,140.2401,136.0755,,14.09.2022 12:52:00
3_TS091412515973,2601405.5814,1144078.3833,1113.6232,111.2092 g,84.4477 g,140.2347,136.0702,,14.09.2022 12:52:00
3_TS091412515899,2601405.5908,1144078.3817,1113.6255,111.2092 g,84.4478 g,140.2446,136.0799,,14.09.2022 12:51:59
3_TS091412515832,2601405.5903,1144078.3817,1113.6255,111.2092 g,84.4477 g,140.2441,136.0794,,14.09.2022 12:51:58
3_TS091412515771,2601405.5910,1144078.3816,1113.6256,111.2092 g,84.4478 g,140.2448,136.0800,,14.09.2022 12:51:58
3_TS091412515602,2601405.5924,1144078.3813,1113.6260,111.2092 g,84.4477 g,140.2463,136.0815,,14.09.2022 12:51:56
3_TS091412515545,2601405.5917,1144078.3815,1113.6257,111.2092 g,84.4478 g,140.2455,136.0807,,14.09.2022 12:51:55
3_TS091412515407,2601405.5865,1144078.3824,1113.6245,111.2092 g,84.4477 g,140.2401,136.0755,,14.09.2022 12:51:54
3_TS091412515342,2601405.5915,1144078.3815,1113.6257,111.2092 g,84.4478 g,140.2453,136.0805,,14.09.2022 12:51:53
3_TS091412515269,2601405.5960,1144078.3807,1113.6269,111.2092 g,84.4477 g,140.2500,136.0851,,14.09.2022 12:51:53
3_TS091412515189,2601405.6013,1144078.3798,1113.6283,111.2092 g,84.4477 g,140.2556,136.0905,,14.09.2022 12:51:52
